turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG515,7,1459058400000,1459058400000_1459058400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,66.4615950371471,0.0008089990583764468
data-WTG515,7,1459058400000,1459058400000_1459058400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,5.065518573055968,0.00030585920248882547
data-WTG515,7,1459058400000,1459058400000_1459058400000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,64.32088448538882,0.000685211888734762
data-WTG515,7,1454911200000,1454911200000_1454911200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,44.27231352154532,0.0008634190322211044
data-WTG515,7,1454911200000,1454911200000_1454911200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,64.59403120356612,0.002123871684536489
data-WTG515,7,1454911200000,1454911200000_1454911200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,4.923178033680039,0.00016816382916230922
data-WTG515,7,1454911200000,1454911200000_1454911200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,62.513474393264,0.00038630229682568067
data-WTG515,7,1454758200000,1454760000000_1454758200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,57.15407236255572,0.0001586837973338288
data-WTG515,7,1454758200000,1454760000000_1454758200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,83.38872852897474,0.000158120403292252
data-WTG515,7,1454758200000,1454760000000_1454758200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,FTF,6.3556577736503215,0.0009597278308264082
data-WTG515,7,1454758200000,1454760000000_1454758200000_21600_LPC.07.0AR1K.64.cms,Gen_DE_BRG,BSF2,80.70279944526993,8.586736110196625e-05
data-WTG515,7,1454814900000,1454824800000_1454814900000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFO,62.10549130757801,0.0006442316848638712
data-WTG515,7,1454814900000,1454824800000_1454814900000_21600_HPC.07.0AR1K.64.cms,Gen_DE_BRG,BPFI,90.61292994056464,0.00018434108482988178
