turbine,sensor,time_stamp,name,component,characteristic,target_frequency_hz,amplitude
data-WTG511,1,1453010400000,1453010400000_1453008900000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,54516.53504328225,
data-WTG511,1,1453032000000,1453032000000_1453030200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,57375.05584739969,
data-WTG511,1,1453032000000,1453032000000_1453030200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,76906.98975289747,
data-WTG511,1,1453032000000,1453032000000_1453030200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,610.3729345468053,0.0001843808167870951
data-WTG511,1,1453032000000,1453032000000_1453030200000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,45004.87173211341,
data-WTG511,1,1453053600000,1453053600000_1453042800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,53275.533507652304,
data-WTG511,1,1453053600000,1453053600000_1453042800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,71411.88534004458,
data-WTG511,1,1453053600000,1453053600000_1453042800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,566.7609947622585,0.0007242824366368795
data-WTG511,1,1453053600000,1453053600000_1453042800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,41789.21513120351,
data-WTG511,1,1453053600000,1453053600000_1453052400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,53275.42252340267,
data-WTG511,1,1453053600000,1453053600000_1453052400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,71411.73657392272,
data-WTG511,1,1453053600000,1453053600000_1453052400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,FTF,566.7598140787518,0.00010862517032152413
data-WTG511,1,1453053600000,1453053600000_1453052400000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,41789.12807539424,
data-WTG511,1,1453075200000,1453075200000_1453057800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,51953.70647023278,
data-WTG511,1,1453075200000,1453075200000_1453057800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BPFI,69640.07463031202,
data-WTG511,1,1453075200000,1453075200000_1453057800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,FTF,552.6990050024764,0.0004441780454697527
data-WTG511,1,1453075200000,1453075200000_1453057800000_21600_HPC.01.0AR1K.64.cms,Rotor_RBG,BSF2,40752.37681544959,
data-WTG511,1,1453075200000,1453075200000_1453074900000_21600_LPC.01.0AR1K.64.cms,Rotor_RBG,BPFO,51953.70647023278,
